,artikelnummer,bauweise,boden_und_zargen,bünde,cutaway,decke,erhältlich_seit,farbe,griffbrett,hersteller,inkl_gigbag,koffer,mensur,modell,preis,sattelbreite_in_mm,tonabnehmer,verkaufseinheit,verkaufsrang
143,406818,Concert,Mahagoni,,Nein,"Fichte, Massiv",Mai 2018,Natur,Palisander,Guild,Nein,Ja,,Guild M-40 Troubadour NAT LR Baggs,1828.0,"44,50 mm",Ja,1 Stück,79342
144,441511,Folk,Mahagoni,,Ja,"Mahagoni, massiv",Juni 2018,Natur,Ebenholz,Framus,Nein,Nein,,Framus 14 M Folk NS Legacy Series,369.0,"45,00 mm",Ja,1 Stück,12261
145,437955,Parlor,Mahagoni,,Nein,"Fichte, Massiv",Mai 2018,Natur,Palisander,Framus,Nein,Nein,,Framus Legacy Series FP14 SV Parlor,339.0,"45,00 mm",Nein,1 Stück,43141
146,460950,Travel,Sapele,,Nein,Sitka Fichte massiv,April 2019,Natur,Ovangkol,Journey Instruments,Ja,Nein,,Journey Instruments OF410,675.0,"44,50 mm",Ja,1 Stück,91800
147,337203,Travelguitar,Mahagoni,,Nein,Fichte,Juli 2014,Natur,Palisander,Luna Guitars,Nein,Nein,,Luna Guitars Safari Peace,155.0,"43,00 mm",Nein,1 Stück,28939
148,438000,Folk,Mahagoni,,Nein,"Fichte, Massiv",Mai 2018,Natur,Palisander,Framus,Nein,Nein,,Framus Legacy FF 14 SC Folk,339.0,"45,00 mm",Nein,1 Stück,85514
149,445338,Mini Grand Symphony,Blackwood,,Nein,Blackwood,Oktober 2018,Natur,Ebenholz,Maton,Nein,Ja,,Maton EMBW6 Mini,1649.0,"44,10 mm",Ja,1 Stück,79803
150,460720,Parlor,Mahagoni,,Nein,"Mahagoni, massiv",,Vintage Sunburst,Ovangkol,Harley Benton,Nein,Nein,,Harley Benton Custom Line CLP-15M VS,189.0,"45,00 mm",Nein,1 Stück,88334
151,392624,Parlor,Mahagoni,,Nein,Mahagoni,September 2016,Natur,Palisander,Ibanez,Nein,Nein,,Ibanez AVN9-OPN Artwood Vintage,348.0,"43,00 mm",Nein,1 Stück,55083
152,462333,Parlor,Kirsche,,Nein,"Fichte, Massiv",März 2019,Burst,Palisander,Art & Lutherie,Ja,Nein,,Art & Lutherie Roadhouse BB A/E w. Gigbag,529.0,"43,70 mm",Ja,1 Stück,33469
153,457797,Parlor,Mahagoni,,Nein,Sitka Fichte massiv,März 2019,Natur,Pau Ferro,Guild,Nein,Nein,,Guild P-240 Memoir Series,529.0,"43,00 mm",Nein,1 Stück,36165
154,461158,Mini Jumbo,Mahagoni,,Nein,Mahagoni,März 2019,Vintage,Blackwood,Harley Benton,Nein,Nein,,Harley Benton Delta Blues MJCE B-Stock,92.0,"43,00 mm",Ja,1 Stück,32869
155,382557,Mini Grand Symphony,Mahagoni,,Nein,Fichte,August 2016,Natur,Blackwood,Harley Benton,Ja,Nein,,Harley Benton Custom Line CLGS-10S Travel,129.0,"43,00 mm",Nein,1 Stück,11466
156,340992,Folk,Mahagoni,,Nein,"Mahagoni, massiv",Januar 2015,Sunburst,Palisander,Framus,Nein,Nein,,Framus FF-14M VS Legacy Series,329.0,"45,00 mm",Nein,1 Stück,84430
157,451396,Parlor,Ahorn,,Nein,"Fichte, Massiv",November 2018,Gold,Palisander,Gretsch,Nein,Nein,,Gretsch G5021E-LTD Rancher Penguin,479.0,"42,50 mm",Ja,1 Stück,15006
158,462422,Mini Jumbo,Ahorn,,Ja,"Fichte, Massiv",März 2019,Natur,Palisander,Seagull,Ja,Nein,,Seagull Performer Mini-Jumbo FM Q1T NT,888.0,"45,72 mm",Ja,1 Stück,81202
159,451656,Orchestra,Okume,,Nein,Okume,Februar 2019,Vintage,Blackwood,Harley Benton,Nein,Nein,,Harley Benton Delta Blues O,79.0,"43,00 mm",Nein,1 Stück,3190
160,415651,Travel,Palisander,,Nein,"Fichte, Massiv",Juni 2017,Natur,Palisander,Fender,Nein,Ja,,Fender CT140SE Travel Natur,304.0,"43,00 mm",Ja,1 Stück,36218
161,278857,Small,Ahorn,,Nein,Fichte,März 2012,Natur,Palisander,Maton,Nein,Ja,,Maton Mini EM6 w/ Case,1099.0,"44,00 mm",Ja,1 Stück,11427
162,352277,Grand Auditorum,Mahagoni,,Nein,"Mahagoni, massiv",April 2015,Natur,Palisander,Framus,Nein,Nein,,Framus FG-14M NS Legacy Series,333.0,"48,00 mm",Nein,1 Stück,29030
163,458113,Orchestra,Mahagoni,,Nein,Mahagoni,Januar 2019,Vintage,Blackwood,Harley Benton,Nein,Nein,,Harley Benton Delta Blues OE Set 1,109.0,"43,00 mm",Ja,1 Stück,7692
